"Nagoya - Nakagawa (Earthquake Shelters)","Shelter Name - English","Shelter Name - Japanese","Latitude","Longitude","Shelter Address","ward"
"","","","","","",""
"1","Takabata Park","高畑公園","35.14228","136.85029","4-chome Takabata, Nakagawa-ku, Nagoya City, Aichi Prefecture","横手市 (Nakagawa Ward)"
"2","Arako Park","荒子公園","35.13832","136.85846","2-chome Arako, Nakagawa-ku, Nagoya-shi, Aichi","横手市 (Nakagawa Ward)"
"3","Noda Elementary School","野田小学校","35.14221","136.846754","1-545 Noda, Nakagawa-ku, Nagoya-shi, Aichi","横手市 (Nakagawa Ward)"
"4","Arako Elementary School","荒子小学校","35.134391","136.849858","4-234 Chugo, Nakagawa-ku, Nagoya-shi, Aichi","横手市 (Nakagawa Ward)"
"5","Ichiyanagi Junior High School","一柳中学校","35.134567","136.848922","4-235 Chugo, Nakagawa-ku, Nagoya-shi, Aichi","横手市 (Nakagawa Ward)"
"6","Joban Elementary School","常磐小学校","35.149165","136.862772","1-15-2 Komoto, Nakagawa-ku, Nagoya-shi, Aichi","横手市 (Nakagawa Ward)"
"7","Noda Park","野田公園","35.14559","136.84141","Tsuchino-cho, Nakagawa-ku, Nagoya-shi, Aichi","横手市 (Nakagawa Ward)"
"8","Nagara Junior High School","長良中学校","35.133976","136.866353","1-3-1, Ohata-cho, Nakagawa-ku, Nagoya-shi, Aichi","横手市 (Nakagawa Ward)"
"9","Matsuba Park","松葉公園","35.14167","136.86962","1-chome, Taiheitori, Nakagawa-ku, Nagoya-shi, Aichi","横手市 (Nakagawa Ward)"
"10","Prefectural Nakagawa Commercial High School ","県立中川商業高等学校","35.143076","136.839764","3-280 Noda, Nakagawa-ku, Nagoya-shi, Aichi","横手市 (Nakagawa Ward)"
"11","Shinohara Elementary School","篠原小学校","35.13464","136.872435","1-55 marumaicho, Nakagawa-ku, Nagoya city, Aichi prefecture","横手市 (Nakagawa Ward)"
"12","Yatsuya Park","八家公園","35.1305332","136.8704256","2 Chome Yatsuyacho, Nakagawa Ward, Nagoya, Aichi 454-0835","横手市 (Nakagawa Ward)"
"13","Municipal Technical High School","市立工業高等学校","35.126532","136.8653","3-13 kitaecho, Nakagawa-ku, Nagoya city, Aichi prefecture","横手市 (Nakagawa Ward)"
"14","Showabashi Elementary School","昭和橋小学校","35.126126","136.871548","7-51-1 nakanoshinmachi, Nakagawa-ku, Nagoya city, Aichi prefecture","横手市 (Nakagawa Ward)"
"15","Nakajima Central Park","中島中央公園","35.12846","136.85274","2-chome, nakajimashinmachi, nakagawa-ku, nagoya city, aichi prefecture","横手市 (Nakagawa Ward)"
"16","Nakajima Elementary School","
中島小学校","35.127722","136.852666","2-401 nakajimashinmachi, nakagawa-ku, nagoya city, aichi prefecture","横手市 (Nakagawa Ward)"
"17","Yawata Junior High School","八幡中学校","35.137542","136.880308","2-chome motonakanocho, nakagawa-ku, nagoya city, aichi prefecture","横手市 (Nakagawa Ward)"
"18","Maruike Park","丸池公園","35.13107","136.84601","Nakahanacho, nakagawa ward, nagoya city, aichi prefecture","横手市 (Nakagawa Ward)"
"19","Yawata Elementary School","八幡小学校","35.1403839","136.8845417","5 Chome-4 Yagumatori, Nakagawa Ward, Nagoya, Aichi 454-0035","横手市 (Nakagawa Ward)"
"20","Arakoshi Park","荒越公園","35.1330373","136.882487","3 Chome Arakoshicho, Nakagawa Ward, Nagoya, Aichi 454-0044","横手市 (Nakagawa Ward)"
"21","Tamagawa Elementary School","玉川小学校","35.0370035","136.8777606"," 2 Chome−１,Tamakawacho,Nakagawa Ward, Nagoya, Aichi","横手市 (Nakagawa Ward)"
"22","Showabashi Park","昭和橋公園","35.1227681","136.8777218","3 Chome Juichibancho, Nakagawa Ward, Nagoya, Aichi 454-0056","横手市 (Nakagawa Ward)"
"23","Showabashi Junior High School","昭和橋中学校","35.1267892","136.8809353"," 1 Chome−９,Hachikencho, Nakagawa Ward, Nagoya,  Aichi","横手市 (Nakagawa Ward)"
"24","Nishinakajima Elementary School","西中島小学校","34.9256781","135.6104505","2 Chome-301 Nishinakajima, Nakagawa Ward, Nagoya, Aichi 454-0934","横手市 (Nakagawa Ward)"
"25","Takasugi Junior High School","高杉中学校","35.1260754","136.8412293","133 Takasugicho, Nakagawa Ward, Nagoya, Aichi 454-0936","横手市 (Nakagawa Ward)"
"26","Tsuyuhashi Sports Center","露橋スポーツセンター","35.1490294","136.8833783","2 Chome−14−1,Tsuyuhashi, Nakagawa Ward, Nagoya,  Aichi","横手市 (Nakagawa Ward)"
"27","Tsuyuhashi Community Center","ツユハシコミュニティセンター","35.1492014","136.8853923","2 Chome−13−1,Tsuyuhashi,Nakagawa Ward, Nagoya, Aichi","横手市 (Nakagawa Ward)"
"29","Around Tsuyuhashi Park","露橋公園","35.1491629","136.8819074"," Tsuyuhashi, Nakagawa Ward, Nagoya, Aichi 454-0022","横手市 (Nakagawa Ward)"
"30","Tsuyuhashi Elementary School","露橋小学校","35.1500596","136.8839949","1 Chome-9-41 Tsuyuhashi, Nakagawa Ward, Nagoya, Aichi 454-0022","横手市 (Nakagawa Ward)"
"31","Sanno Junior High School","山王中学校","35.1499974","136.8886591","3 Chome-7-3 Sanno, Nakagawa Ward, Nagoya, Aichi 454-0011","横手市 (Nakagawa Ward)"
"32","Nishimaeda Elementary School","西前田小学校","35.1363794","136.8298963","3 Chome-1001 Maeda Nishimachi, Nakagawa Ward, Nagoya, Aichi 454-0941","横手市 (Nakagawa Ward)"
"33","Nagasuka Elementary School","長須賀小学校","35.1402214","136.8278103","1 Chome-1001 Maeda Nishimachi, Nakagawa Ward, Nagoya, Aichi 454-0941","横手市 (Nakagawa Ward)"
"34","Gotanda Elementary School","五反田小学校","35.1003793","136.8583239","1 Chome-601 Ishikishinmachi, Nakagawa Ward, Nagoya, Aichi 454-0946","横手市 (Nakagawa Ward)"
"35","Sukemitsu Junior High School","
助光中学校","35.133519","136.8261612","3 Chome-201 Sukemitsu, Nakagawa Ward, Nagoya, Aichi 454-0947","横手市 (Nakagawa Ward)"
"36","Aichi Elementary School","愛知小学校","35.155621","136.7380923","1-35 Hoseicho, Nakagawa Ward, Nagoya, Aichi 454-0803","横手市 (Nakagawa Ward)"
"38","Manbagawa Higashi Park","万場川東公園","35.52157","136.8258828","4 Chome Manba, Nakagawa Ward, Nagoya, Aichi 454-0997","横手市 (Nakagawa Ward)"
"39","Haruta Elementary School ","
春田小学校","35.1521969","136.8105619","2 Chome-243 Higashiharuta, Nakagawa Ward, Nagoya, Aichi 454-0983","横手市 (Nakagawa Ward)"
"40","Toyoharu Elementary School","豊治小学校","35.1321714","136.8123483","1 Chome-2501 Kanosato, Nakagawa Ward, Nagoya, Aichi 454-0957","横手市 (Nakagawa Ward)"
"41","Kumaiden Junior High School","供米田中学校","35.1363374","136.8110823","2 Chome-2 Chome-802 Kumaiden, Nakagawa Ward, Nagoya, Aichi 454-0984","横手市 (Nakagawa Ward)"
"43","Toda Elementary School","戸田小学校","35.2362778","133.6879999","2 Chome-2-2114 Toda, Nakagawa Ward, Nagoya, Aichi 454-0962","横手市 (Nakagawa Ward)"
"44","Hiromi Elementary School","広見小学校","35.1564975","136.8826628","4-41 Hirosumicho, Nakagawa Ward, Nagoya, Aichi 454-0007","横手市 (Nakagawa Ward)"
"45","Manba Elementary School","万場小学校","35.1538438","136.8236678","４丁目-１１０６ Manba, Nakagawa Ward, Nagoya, Aichi 454-0997","横手市 (Nakagawa Ward)"
"46","Senonji Elementary School","千音寺小学校","35.1538654","136.8171017","Sannotsubo-4666 Tomidacho Oaza Sennonji, Nakagawa Ward, Nagoya, Aichi 454-0971","横手市 (Nakagawa Ward)"
"47","Isshiki Junior High School","一色中学校","35.12869","136.831202","1-701 Ishikishinmachi, Nakagawa-ku, Nagoya-shi, Aichi","横手市 (Nakagawa Ward)"
"48","Tomita Junior High School","富田中学校","35.1413262","136.8131499","3 Chome Haruta, Nakagawa Ward, Nagoya, Aichi 454-0985","横手市 (Nakagawa Ward)"
